international_research_network;faculty_student_ratio;international_students;outbound_exchange;citations_per_paper;inbound_exchange;papers_per_faculty;international_faculty;academic_reputation;employer_reputation;faculty_staff_with_PhD
0;0;25.2;15.7;0;25;0;34.4;0;0;0
23.3;0;0;0;0;0;0;0;0;16.9;0
0;0;94.5;77;0;29.6;0;0;0;0;0
0;0;0;0;0;0;29.8;0;0;0;0
0;0;24.4;23.8;0;74.5;0;25.1;0;0;34.9
0;0;0;0;0;0;25.1;0;0;0;88.3
18.4;39.7;0;0;0;0;35.4;0;0;0;0
0;0;0;34.5;0;32.7;0;87.6;0;0;0
0;0;53.4;0;0;0;0;48.7;0;0;0
0;0;0;0;0;0;0;0;0;30;0
0;43.2;0;0;0;0;41.9;0;0;0;0
0;0;0;0;0;0;17.5;0;0;0;89.3
26.4;0;0;0;28;0;0;0;0;0;0
0;0;0;0;0;0;0;0;17.1;13.9;0
0;0;0;0;0;0;0;0;0;27.4;0
0;0;0;13;0;0;0;0;0;16.4;0
0;25.8;0;0;21.3;16.6;0;0;0;0;21.9
0;0;0;0;27.4;0;0;0;0;0;0
22.5;0;0;0;26;0;17.9;0;0;0;0
0;0;28.1;12.2;0;0;0;0;0;17.8;0
21.7;0;0;33.3;32.9;0;0;0;0;0;0
0;42.7;0;0;0;0;0;0;0;0;0
0;27.5;0;0;21.3;0;0;0;0;0;0
17.6;0;0;26.7;0;0;17.4;0;0;0;0
0;0;22.4;0;0;51.4;0;0;0;17;0
0;41.1;22.4;0;0;0;0;0;0;0;0
0;0;0;0;29.3;0;0;38.7;0;0;0
18.4;0;0;0;0;0;21.5;0;0;0;0
0;0;0;0;41.7;0;0;31.4;0;0;0
0;0;0;0;0;0;19.2;0;0;0;71.7
0;66.2;0;0;0;0;0;22.4;0;0;0
0;25.1;0;0;0;0;24.4;0;0;0;28.5
22.6;0;0;0;0;0;28.3;0;0;0;0
0;24;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;34.7;0;0;0;100
0;23.5;0;0;0;0;0;0;0;0;0
0;0;0;0;39.4;0;0;0;0;0;0
0;30.2;0;0;0;0;0;0;0;0;0
0;0;85.4;0;0;0;0;31;0;0;0
0;56.5;0;0;0;0;0;31.5;0;0;0
0;0;29.4;32.9;0;13.6;0;0;0;0;0
0;0;0;0;0;0;0;63.4;0;0;0
0;0;0;17.6;0;0;0;17.4;0;0;0
0;0;0;26.2;0;19.9;0;0;0;14.5;0
0;0;13.9;0;44.9;0;0;0;0;0;0
0;0;27.7;0;29.4;0;38;0;0;0;0
0;0;21;0;0;10;0;0;0;0;42.9
0;22.9;0;0;0;0;33.9;0;0;0;0
0;0;0;0;0;0;23.2;0;0;0;81.8
0;48.1;0;0;0;0;0;0;0;0;0
0;0;0;33.3;0;0;0;0;0;0;0
0;28.6;0;0;29.7;0;0;0;0;0;0
0;30.9;0;0;0;0;0;0;0;0;0
0;35.6;0;0;0;0;0;0;0;0;0
0;0;69;98.9;0;0;0;17.7;0;0;0
19.2;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;27.5;0;0;20.9
0;0;16.3;0;0;0;0;0;14.3;15.2;0
0;0;25.9;0;0;33.2;0;0;0;0;0
0;0;0;0;0;0;0;0;20.3;0;0
0;0;0;0;0;0;0;0;16.5;0;0
0;22.5;0;0;0;0;0;0;0;0;0
0;0;32.1;0;0;0;0;40.9;0;0;0
0;0;0;0;0;0;0;0;0;16.7;0
39;0;0;0;0;0;0;0;0;0;0
0;0;0;0;39.2;0;0;0;0;0;0
0;0;0;21;0;20.3;0;68.9;0;0;0
0;41.6;15.8;0;0;19.1;21.9;27;0;0;0
0;28.9;0;0;0;0;0;0;0;0;0
0;0;0;12.6;0;0;0;24.4;15.3;0;0
0;0;34.3;0;0;0;20.6;18.4;0;0;26.4
0;0;0;0;0;0;0;0;0;14.5;0
0;0;0;0;0;0;0;0;0;0;0
0;0;0;12;0;19.5;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0
0;35.2;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;14.7;0
0;0;0;0;0;0;44.4;0;0;0;0
0;0;0;17.9;31.1;12.1;0;0;0;0;0
0;0;0;0;40.9;0;0;0;0;0;0
21.7;0;0;0;0;0;0;41.6;0;0;0
0;0;0;0;20.4;0;0;0;0;0;42.9
0;0;14.6;26;0;12.3;0;23.4;0;0;0
0;0;0;0;0;0;0;0;0;0;0
0;0;13.7;34.3;0;0;0;0;0;0;0
0;0;0;0;0;0;37.9;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0
17.4;0;14.1;0;0;0;0;36.7;0;0;0
16.9;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;18.4;20;0;0;47.6
0;26.4;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;95.4
0;0;0;17.8;0;20;22.3;0;0;0;0
0;0;0;0;46;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0
0;41.9;39.8;0;0;0;0;0;0;0;0
0;27.2;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;21.6;0;25;0;0;0;0
0;0;35.9;55.6;0;28;0;21;0;0;0
0;0;0;0;0;0;0;0;0;0;0
0;0;39.1;64.8;0;40.5;0;27;0;0;0
0;0;0;74.8;0;0;0;43.5;0;0;0
0;0;0;0;0;14;0;0;0;0;0
0;0;0;26.4;23;0;19.4;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;34.8;0;0;0
0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;14.2;0
0;0;0;0;0;0;0;25.2;0;0;18.5
0;0;0;0;0;0;0;0;0;0;48.5
0;0;0;0;0;20.1;0;0;0;0;0
0;31.2;0;13.7;0;0;0;0;0;0;0
0;0;0;0;28;0;0;0;0;0;0
0;0;15.2;27.6;0;0;0;28.4;0;0;0
0;22.5;0;12.1;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0
0;0;0;19.9;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0
0;0;13.2;0;0;12.1;0;35.1;0;0;0
0;0;0;0;0;0;0;0;0;0;0
0;0;13.8;41.9;0;16.4;0;0;0;0;0
0;0;17.6;77.3;0;25.5;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0
0;34.5;0;0;0;0;0;0;0;0;0
0;0;29.4;14.5;0;0;0;40.2;0;0;0
0;0;0;0;0;15.8;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;17.6
0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;37.6;0;0;0;0
0;0;0;0;0;0;0;23.7;0;0;0
0;0;0;0;0;0;22;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0
0;0;19.7;14.2;0;14.8;0;19.4;0;0;0
0;0;0;0;0;0;17.6;75.2;0;0;0
0;0;0;16.6;0;0;0;0;0;0;0
0;0;33.1;24.4;0;0;29.5;0;0;0;0
0;0;0;0;0;0;0;44.2;0;0;0
0;0;0;0;0;0;0;0;0;0;31.2
0;0;0;0;0;0;0;0;0;0;0
0;0;20.7;33;0;0;0;24.3;0;0;0
0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;64.5
0;0;0;0;0;0;18.6;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;20.4;0;0;0;0
0;0;0;0;0;12.7;0;26.9;0;0;0
0;0;0;0;0;0;0;30.3;0;0;0
0;0;19.7;0;0;0;0;58.5;0;0;0
0;0;0;0;0;0;0;0;0;0;0
0;27.1;0;0;0;0;0;0;0;0;0
0;0;0;0;0;14.7;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0
0;0;0;31.5;0;12.9;0;19;0;0;0
0;0;0;0;0;0;0;21.5;0;0;0
